age,edu,single_f,married_f,single_m,married_m
20,0,349,0,700,0
20,1,1725,0,2535,0
20,2,1228,0,1179,0
20,3,695,0,625,0
20,4,595,0,518,0
21,0,315,34,648,52
21,1,1517,208,2381,154
21,2,1118,110,1132,47
21,3,674,21,615,10
21,4,574,21,511,7
22,0,291,58,593,107
22,1,1328,397,2201,334
22,2,994,234,1064,115
22,3,638,57,592,33
22,4,548,47,495,23
23,0,264,85,540,160
23,1,1173,552,2019,516
23,2,877,351,963,216
23,3,572,123,555,70
23,4,507,88,459,59
24,0,248,101,500,200
24,1,1025,700,1817,718
24,2,779,449,871,308
24,3,504,191,498,127
24,4,446,149,421,97
25,0,237,112,467,233
25,1,931,794,1648,887
25,2,715,513,792,387
25,3,432,263,446,179
25,4,403,192,387,131
26,0,237,112,448,252
26,1,850,875,1510,1025
26,2,649,579,707,472
26,3,394,301,394,231
26,4,348,247,349,169
27,0,222,127,436,264
27,1,804,921,1438,1097
27,2,614,614,666,513
27,3,348,347,351,274
27,4,329,266,315,203
28,0,218,131,420,280
28,1,775,950,1380,1155
28,2,577,651,626,553
28,3,318,377,309,316
28,4,305,290,286,232
29,0,209,140,409,291
29,1,763,962,1333,1202
29,2,553,675,602,577
29,3,290,405,296,329
29,4,272,323,238,280
30,0,199,150,405,295
30,1,742,983,1305,1230
30,2,536,692,579,600
30,3,265,430,266,359
30,4,247,348,207,311
31,0,198,151,395,305
31,1,725,1000,1272,1263
31,2,538,690,571,608
31,3,244,451,245,380
31,4,232,363,200,318
32,0,195,154,391,309
32,1,715,1010,1249,1286
32,2,529,699,559,620
32,3,232,463,232,393
32,4,210,385,183,335
33,0,195,154,389,311
33,1,703,1022,1235,1300
33,2,523,705,546,633
33,3,230,465,221,404
33,4,207,388,161,357
34,0,194,155,386,314
34,1,692,1033,1225,1310
34,2,513,715,541,638
34,3,228,467,216,409
34,4,202,393,153,365
35,0,191,158,388,312
35,1,692,1033,1209,1326
35,2,501,727,530,649
35,3,222,473,205,420
35,4,197,398,146,372
36,0,188,161,387,313
36,1,690,1035,1195,1340
36,2,502,726,524,655
36,3,217,478,201,424
36,4,190,405,138,380
37,0,186,163,385,315
37,1,684,1041,1191,1344
37,2,505,723,525,654
37,3,213,482,195,430
37,4,185,410,129,389
38,0,185,164,387,313
38,1,686,1039,1188,1347
38,2,502,726,512,667
38,3,211,484,193,432
38,4,190,405,126,392
39,0,189,160,387,313
39,1,694,1031,1191,1344
39,2,495,733,498,681
39,3,215,480,191,434
39,4,189,406,129,389
40,0,193,156,390,310
40,1,691,1034,1184,1351
40,2,501,727,496,683
40,3,212,483,189,436
40,4,190,405,131,387
41,0,194,155,389,311
41,1,694,1031,1186,1349
41,2,512,716,503,676
41,3,210,485,186,439
41,4,191,404,130,388
42,0,188,161,388,312
42,1,695,1030,1181,1354
42,2,515,713,501,678
42,3,208,487,185,440
42,4,191,404,129,389
43,0,186,163,390,310
43,1,698,1027,1184,1351
43,2,518,710,501,678
43,3,206,489,181,444
43,4,193,402,130,388
44,0,189,160,387,313
44,1,699,1026,1196,1339
44,2,501,727,497,682
44,3,208,487,183,442
44,4,189,406,122,396
45,0,192,157,390,310
45,1,709,1016,1201,1334
45,2,507,721,497,682
45,3,210,485,189,436
45,4,192,403,120,398
46,0,187,162,387,313
46,1,708,1017,1202,1333
46,2,522,706,503,676
46,3,218,477,186,439
46,4,195,400,124,394
47,0,191,158,389,311
47,1,716,1009,1211,1324
47,2,520,708,503,676
47,3,227,468,185,440
47,4,197,398,125,393
48,0,193,156,389,311
48,1,723,1002,1217,1318
48,2,530,698,507,672
48,3,233,462,185,440
48,4,201,394,125,393
49,0,193,156,389,311
49,1,722,1003,1215,1320
49,2,542,686,516,663
49,3,234,461,189,436
49,4,208,387,125,393
50,0,194,155,394,306
50,1,729,996,1226,1309
50,2,549,679,523,656
50,3,232,463,189,436
50,4,214,381,128,390
51,0,196,153,395,305
51,1,736,989,1226,1309
51,2,552,676,518,661
51,3,234,461,191,434
51,4,209,386,121,397
52,0,199,150,395,305
52,1,748,977,1224,1311
52,2,557,671,518,661
52,3,235,460,190,435
52,4,213,382,121,397
53,0,199,150,396,304
53,1,759,966,1232,1303
53,2,563,665,516,663
53,3,233,462,196,429
53,4,216,379,119,399
54,0,202,147,399,301
54,1,767,958,1243,1292
54,2,566,662,525,654
54,3,231,464,196,429
54,4,215,380,115,403
55,0,175,132,351,273
55,1,695,851,1115,1146
55,2,519,601,474,583
55,3,200,412,177,379
55,4,200,336,106,362
56,0,145,108,286,232
56,1,586,743,933,1005
56,2,434,514,422,505
56,3,167,372,150,329
56,4,175,282,96,294
57,0,115,91,218,191
57,1,474,601,793,833
57,2,360,433,346,417
57,3,150,307,127,260
57,4,150,221,83,245
58,0,91,71,162,148
58,1,371,492,640,681
58,2,289,353,280,342
58,3,118,246,103,209
58,4,116,167,65,199
59,0,63,45,113,94
59,1,255,355,458,476
59,2,218,269,219,262
59,3,94,181,77,161
59,4,94,130,54,150
60,0,37,22,61,57
60,1,154,207,275,299
60,2,142,153,140,175
60,3,61,126,53,122
60,4,72,83,30,128
